Czas_Rejestracji;Liczba_Wolnych_Miejsc;Liczba_Poj_Wjezdzajacych;Liczba_Poj_Wyjezdzajacych;Nazwa
2016-11-27 08:55:00.013;269;0;0;Nowy Targ
2016-11-27 08:55:01.247;786;2;0;Parking Hala Stulecia
2016-11-27 08:55:02.153;99;0;0;ul. św. Antoniego
2016-11-27 09:00:00.017;270;0;1;Nowy Targ
2016-11-27 09:00:01.647;784;3;1;Parking Hala Stulecia
2016-11-27 09:00:01.960;99;0;0;ul. św. Antoniego
2016-11-27 09:01:18.980;473;0;0;Renoma
2016-11-27 09:05:00.017;270;0;0;Nowy Targ
2016-11-27 09:05:01.263;783;1;0;Parking Hala Stulecia
2016-11-27 09:05:02.013;99;0;0;ul. św. Antoniego
2016-11-27 09:10:00.020;270;0;0;Nowy Targ
2016-11-27 09:10:01.850;99;0;0;ul. św. Antoniego
2016-11-27 09:10:02.123;783;0;0;Parking Hala Stulecia
2016-11-27 09:11:18.860;542;0;0;Renoma
2016-11-27 09:15:00.017;270;0;0;Nowy Targ
2016-11-27 09:15:01.247;783;1;1;Parking Hala Stulecia
2016-11-27 09:15:01.743;99;0;0;ul. św. Antoniego
2016-11-27 09:20:00.017;270;0;0;Nowy Targ
2016-11-27 09:20:01.210;781;2;0;Parking Hala Stulecia
2016-11-27 09:20:01.607;99;0;0;ul. św. Antoniego
2016-11-27 09:21:18.533;497;0;0;Renoma
2016-11-27 09:25:00.017;271;0;1;Nowy Targ
2016-11-27 09:25:01.567;101;0;1;ul. św. Antoniego
2016-11-27 09:25:02.177;781;0;0;Parking Hala Stulecia
2016-11-27 09:30:00.023;270;1;0;Nowy Targ
2016-11-27 09:30:01.430;101;0;0;ul. św. Antoniego
2016-11-27 09:30:01.823;779;2;0;Parking Hala Stulecia
2016-11-27 09:31:18.343;500;0;0;Renoma
2016-11-27 09:35:00.013;270;0;0;Nowy Targ
2016-11-27 09:35:01.283;99;1;0;ul. św. Antoniego
2016-11-27 09:35:01.620;777;2;0;Parking Hala Stulecia
2016-11-27 09:40:00.017;269;2;1;Nowy Targ
